"","date","trust_code","covid_flag","admitted_pathways","non_admitted_pathways","incomplete_pathways","incomplete_pathways_with_dta","new_rtt_periods_all_patients","audiology_audiology_assessments","barium_enema","cardiology_echocardiography","cardiology_electrophysiology","colonoscopy","computed_tomography","cystoscopy","dexa_scan","flexi_sigmoidoscopy","gastroscopy","magnetic_resonance_imaging","neurophysiology_peripheral_neurophysiology","non_obstetric_ultrasound","respiratory_physiology_sleep_studies","total","urodynamics_pressures_flows","audiology_assessments","ct","echocardiography","electrophysiology","mri","peripheral_neurophys","sleep_studies","urodynamics","all_diagnostics_tests","operating_theatres","X","occupied_beds","bed_capacity","ratio_doctors","doctors","senior_doctors","nurses","managers","all_ftes","CatchmentYear","trust_total_catchment","date_yr","total_pathways","years_since_covid"
"32",2018 Q2,"RBS","pre-covid",2738,11131,39352,3896,18329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4992,186.380434782609,241.108695652174,0,0,0,0,0,0,2020,356263,2018,13869,"0_yrs"
"33",2018 Q2,"RBT","pre-covid",4081,13455,43857,7925,21271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4993,470.565217391304,556,0,0,0,0,0,0,2020,221518,2018,17536,"0_yrs"
"34",2018 Q2,"RBZ","pre-covid",1737,3268,27999,6905,8018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5150,207.760869565217,274.336956521739,0,0,0,0,0,0,2020,144357,2018,5005,"0_yrs"
"35",2018 Q2,"RC1","pre-covid",4933,16716,44596,8995,24467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5055,391.358695652174,397.565217391304,0,0,0,0,0,0,0,0,2018,21649,"0_yrs"
"36",2018 Q2,"RC9","pre-covid",4971,11475,69738,15854,27171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5056,612.228260869565,701.271739130435,0,0,0,0,0,0,2020,562301,2018,16446,"0_yrs"
"37",2018 Q2,"RCB","pre-covid",5943,23314,81872,19097,36215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,4995,878.695652173913,977.282608695652,0,0,0,0,0,0,2020,462072,2018,29257,"0_yrs"
"38",2018 Q2,"RCD","pre-covid",2992,12491,43898,7921,20423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4996,255.79347826087,304.95652173913,0,0,0,0,0,0,2020,213152,2018,15483,"0_yrs"
"39",2018 Q2,"RCF","pre-covid",2252,7373,22989,4333,11978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4997,271.521739130435,332,0,0,0,0,0,0,2020,166574,2018,9625,"0_yrs"
"40",2018 Q2,"RCU","pre-covid",1554,8441,24472,3404,11156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4998,105.054347826087,158.260869565217,0,0,0,0,0,0,2020,281881,2018,9995,"0_yrs"
"41",2018 Q2,"RCX","pre-covid",3550,5054,43493,10769,15850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5057,411.119565217391,484.554347826087,0,0,0,0,0,0,2020,192106,2018,8604,"0_yrs"
