"","date","trust_code","covid_flag","completed_pathways_for_admitted_patients","completed_pathways_for_non_admitted_patients","incomplete_pathways","incomplete_pathways_with_dta","new_rtt_periods_all_patients","audiology_assessments","barium_enema","colonoscopy","ct","cystoscopy","dexa_scan","echocardiography","electrophysiology","flexi_sigmoidoscopy","gastroscopy","mri","non_obstetric_ultrasound","peripheral_neurophys","sleep_studies","urodynamics","all_diagnostics_tests","audiology_audiology_assessments","barium_enema_2","cardiology_echocardiography","cardiology_electrophysiology","colonoscopy_2","computed_tomography","cystoscopy_2","dexa_scan_2","flexi_sigmoidoscopy_2","gastroscopy_2","magnetic_resonance_imaging","neurophysiology_peripheral_neurophysiology","non_obstetric_ultrasound_2","respiratory_physiology_sleep_studies","total.x","urodynamics_pressures_flows","operating_theatres","X.x","occupied_beds","bed_capacity","covid_beds","X.y","sick_ftes","total_ftes","sickness_rate","ratio_doctors","doctors","senior_doctors","nurses","managers","all_ftes","standard_los","los_unadjusted","elective_proportion","emergency_proportion","CatchmentYear","trust_total_catchment","date_yr","total_ftes2","low","moderate","high","significant","investment","cost","total.y","total_pathways","admitted_pathways","non_admitted_pathways","nurses_ratio","doctors_ratio","senior_doctors_ratio","occupied_ratio","significant_ratio","years_since_covid"
"22",2019 Q1,"RBZ","pre-covid",3024,6365,34953,9489,11295,2001,0,284,5269,393,546,471,0,235,457,1961,5626,216,90,126,17675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1119,215.725274725275,292.681318681319,0,14674,8549.65472,245705.59251,0.0347963374893554,0.561372933473382,127.2875,162.90777,642.65864,71.93332,2680.08303,5.519185463,5.951902174,0.206785444,0.793214556,2020,144357,2019,8549.65471999999,88000,3407401,190000,9472555,997580.166232622,15565179.5728229,16102092.9775244,9389,3024,6365,0.00261556374616847,0.000518048851471785,0.000663020195575605,0.737065405121274,2.76436237215701,"-1_yrs"
"23",2019 Q1,"RC9","pre-covid",4605,13646,74757,15148,30940,274,0,545,9049,449,764,2234,0,763,1032,6049,11854,541,266,101,33921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1203,639.67032967033,719.197802197802,0,14676,13109.68931,350998.46158,0.0373497058961098,0.513804546814413,278.7608,294.59051,1101.41852,93.80667,3822.85076,5.784213619,6.254253437,0.157394966,0.842605034,2020,562301,2019,13109.68931,1604591,32323779,8200305,4252914,2938685.683453,54867014.4251787,56618316.0375892,18251,4605,13646,0.00313795825497931,0.000794193794312299,0.000839292880868814,0.889421975033234,0.367044423295313,"-1_yrs"
"24",2019 Q1,"RCB","pre-covid",5439,24205,80958,19316,35604,1956,200,1430,11707,504,636,3252,0,664,2078,7432,14193,261,378,41,44732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1255,959.813186813187,998,0,14677,30693.67626,659755.38864,0.0465228125279447,0.566278853468314,329.80735,430.606,1630.68112,138.99145,7142.87887,7.048955835,7.404630753,0.122737674,0.877262326,2020,462072,2019,30693.67626,3207907,6983965,8707500,13090428,1703980.01376748,37842274.4002708,41200591.4022697,29644,5439,24205,0.00247164501886288,0.000499893378180442,0.00065267522996309,0.961736660133454,2.13875605973073,"-1_yrs"
"25",2019 Q1,"RCD","pre-covid",3285,13542,41785,8781,19391,1891,0,573,3581,88,1207,657,0,406,505,3015,7265,113,0,12,19313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1256,267.406593406593,338.098901098901,0,14678,16333.61364,343043.92616,0.0476137672012936,0.58095852046223,132.86632,184.20568,1303.61522,67.68,3703.07691,6.24433477,6.778652906,0.174085064,0.825914936,2020,213152,2019,16333.61364,6812782,4918926,0,28142,600852.482715764,13911292.6809803,14200575.3071746,16827,3285,13542,0.00380014080002098,0.000387315762990741,0.000536974031465825,0.790912341144732,0.00239879819715936,"-1_yrs"
"26",2019 Q1,"RCF","pre-covid",2251,7465,22651,4279,11865,1543,0,666,4022,484,508,1199,0,584,679,1907,5416,334,137,63,17542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1257,280.857142857143,360,0,14679,10437.22034,237729.39721,0.0439037849861715,0.575777968879486,103.72739,140.78464,578.1667,76.32455,2554.63799,6.852017782,7.414840243,0.108190819,0.891809181,2020,166574,2019,10437.22034,4904186,24076673,13622084,1049800,469316.930214988,51638931.1258745,52274880.8991502,9716,2251,7465,0.00243203704205447,0.000436325465917754,0.000592205430427424,0.780158730158731,0.506261184321693,"-1_yrs"
"27",2019 Q1,"RCU","pre-covid",1453,9084,24436,3890,11742,2514,1,111,484,19,154,489,0,14,249,855,1592,23,344,22,6871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1258,113.472527472527,161.637362637363,0,14680,11322.78536,259799.12235,0.0435828468455948,0.581756196420955,123.73364,172.1073,793.79731,67.13332,2735.44319,0,0,0,0,2020,281881,2019,11322.78536,9574000,11181000,0,3015500,5695645.69073284,28119268.7554044,28851196.7728461,10537,1453,9084,0.00305542721938298,0.000476266581968305,0.000662462976946235,0.702019171935545,0.145290291496025,"-1_yrs"
"28",2019 Q1,"RCX","pre-covid",3556,5658,42565,11519,16464,963,0,510,5822,559,293,1742,0,238,746,2664,5112,544,0,165,19358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1204,412.076923076923,490.791208791209,0,14681,14789.65239,259109.44521,0.0570787852909548,0.489693114008895,205.00557,196.7244,696.92326,67.24,2851.80468,5.912744717,6.350008807,0.133657889,0.866342111,2020,192106,2019,14789.65239,1133733,32046449,9623412,4061138,1331382.10640479,55438547.5382513,56290352.3415913,9214,3556,5658,0.00268968682108507,0.000791192964169444,0.000759232840163588,0.839617571985132,0.412431432714866,"-1_yrs"
"29",2019 Q1,"RD1","pre-covid",2489,17745,62963,8255,27520,1786,1,614,9587,701,1011,3469,0,304,806,5300,11387,199,209,793,36167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1120,612.142857142857,652.846153846154,0,14682,18236.00566,406670.02019,0.0448422670829779,0.509979950840235,268.78665,279.73509,1047.56852,152.54001,4432.49694,6.295785057,6.647311251,0.100562852,0.899437148,2020,355202,2019,18236.00566,858606,11885868,2373491,34517789,4240858.43439162,58716522.8582966,62898227.7793236,20234,2489,17745,0.00257596692156104,0.000660945328289556,0.000687867499722023,0.937652544227305,2.89468831746214,"-1_yrs"
"30",2019 Q1,"RD8","pre-covid",4891,12345,42750,8219,20111,630,0,255,2276,455,0,1020,514,116,319,2019,9006,0,142,18,16770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1205,496.725274725275,548,0,14684,11621.34508,278936.13692,0.0416631032763354,0.625244712347016,154.5175,257.79823,787.75636,93.71067,3103.92699,6.766190548,6.988304094,0.117889318,0.882110682,2020,245764,2019,11621.34508,1311662,5205200,5003900,6986200,338961.959957661,21892776.2699168,22761842.8086609,17236,4891,12345,0.00282414594501225,0.000553952964668455,0.00092421954661951,0.906432983075319,1.83985789479661,"-1_yrs"
"31",2019 Q1,"RDE","pre-covid",7728,37558,137695,25210,53880,3798,64,2173,19386,1811,679,3568,0,708,1585,9545,17112,951,593,180,62153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1207,1111.26373626374,1248.15384615385,0,14686,30357.4832,744750.61156,0.0407619446413228,0.521311978811811,468.90584,510.65876,2266.77186,227.35893,8113.67258,6.214906828,6.486161011,0.152698754,0.847301246,2020,646089,2019,30357.4832,3848440,33196650,2182600,11181093,3612723.61872931,59630976.0758024,63424644.6249327,45286,7728,37558,0.00304366565775875,0.00062961457529763,0.000685677530267942,0.890325931925833,0.360741275024571,"-1_yrs"
