,cal_quarter,PROCODE,standard_los
298,Q1   2020,RL4,7.682147412
299,Q1   2020,RLQ,6.62127598
300,Q1   2020,RLT,7.209141314
301,Q1   2020,RM1,6.396954063
302,Q1   2020,RM3,9.407650906
303,Q1   2020,RMC,6.729458285
304,Q1   2020,RMP,6.461869935
305,Q1   2020,RN3,6.711914477
306,Q1   2020,RN5,7.122212873
307,Q1   2020,RN7,6.573026581
308,Q1   2020,RNA,6.724800386
309,Q1   2020,RNN,8.487657859
310,Q1   2020,RNQ,7.923148568
311,Q1   2020,RNS,7.489212988
312,Q1   2020,RNZ,8.119582889
313,Q1   2020,RP5,6.151059959
314,Q1   2020,RPA,7.0574813
315,Q1   2020,RQM,6.184029303
316,Q1   2020,RQW,6.981993175
317,Q1   2020,RQX,6.479908907
318,Q1   2020,RR7,7.680833845
319,Q1   2020,RR8,8.278136139
320,Q1   2020,RRF,5.420777916
321,Q1   2020,RRK,6.932555132
322,Q1   2020,RRV,7.298598397
323,Q1   2020,RTD,6.799440625
324,Q1   2020,RTE,6.099106354
325,Q1   2020,RTF,6.177809023
326,Q1   2020,RTG,6.567560321
327,Q1   2020,RTH,6.011840156
328,Q1   2020,RTK,7.602107842
329,Q1   2020,RTP,7.553185005
330,Q1   2020,RTR,7.007265829
331,Q1   2020,RTX,7.259363894
332,Q1   2020,RVJ,6.936528945
333,Q1   2020,RVR,6.550436557
334,Q1   2020,RVV,6.711432444
335,Q1   2020,RVW,5.971704603
336,Q1   2020,RVY,6.722845838
337,Q1   2020,RWA,6.323451347
338,Q1   2020,RWD,6.597568
339,Q1   2020,RWE,6.203664522
340,Q1   2020,RWF,6.010166544
341,Q1   2020,RWG,6.68029088
342,Q1   2020,RWH,5.729546489
343,Q1   2020,RWJ,7.419379666
344,Q1   2020,RWP,6.071832723
345,Q1   2020,RWW,6.537451418
346,Q1   2020,RWY,5.974750489
347,Q1   2020,RX1,7.025123046
348,Q1   2020,RXC,7.287217164
349,Q1   2020,RXF,6.861850899
350,Q1   2020,RXK,6.037370615
351,Q1   2020,RXL,8.106918819
352,Q1   2020,RXN,7.928963496
