,cal_quarter,PROCODE,elective_proportion,emergency_proportion
152,Q1   2019,RFR,0.16341155,0.83658845
153,Q1   2019,RFS,0.097532315,0.902467685
154,Q1   2019,RGN,0.192421508,0.807578492
155,Q1   2019,RGP,0.12557217,0.87442783
156,Q1   2019,RGR,0.118631517,0.881368483
157,Q1   2019,RGT,0.220665624,0.779334376
158,Q1   2019,RH5,NA,1
159,Q1   2019,RH8,0.232341503,0.767658497
160,Q1   2019,RHM,0.226450009,0.773549991
161,Q1   2019,RHQ,0.255046928,0.744953072
162,Q1   2019,RHU,0.164088325,0.835911675
163,Q1   2019,RHW,0.147127104,0.852872896
164,Q1   2019,RJ1,0.34640603,0.65359397
165,Q1   2019,RJ2,0.080200501,0.919799499
166,Q1   2019,RJ6,0.115641924,0.884358076
167,Q1   2019,RJ7,0.232973227,0.767026773
168,Q1   2019,RJC,0.14360272,0.85639728
169,Q1   2019,RJE,0.124971709,0.875028291
170,Q1   2019,RJL,0.152114223,0.847885777
171,Q1   2019,RJN,0.084123585,0.915876415
172,Q1   2019,RJR,0.146526316,0.853473684
173,Q1   2019,RJZ,0.285012412,0.714987588
174,Q1   2019,RK5,0.109568518,0.890431482
175,Q1   2019,RK9,0.21495832,0.78504168
176,Q1   2019,RKB,0.188279536,0.811720464
177,Q1   2019,RKE,0.109386027,0.890613973
178,Q1   2019,RL4,0.157225434,0.842774566
179,Q1   2019,RLQ,0.176969269,0.823030731
180,Q1   2019,RLT,0.100911314,0.899088686
181,Q1   2019,RM1,0.197994661,0.802005339
182,Q1   2019,RM3,0.195920659,0.804079341
183,Q1   2019,RMC,0.11968312,0.88031688
184,Q1   2019,RMP,0.098297872,0.901702128
185,Q1   2019,RN3,0.136267791,0.863732209
186,Q1   2019,RN5,0.138212058,0.861787942
187,Q1   2019,RN7,0.21048522,0.78951478
188,Q1   2019,RNA,0.137443317,0.862556683
189,Q1   2019,RNN,0.276752768,0.723247232
190,Q1   2019,RNQ,0.121848247,0.878151753
191,Q1   2019,RNS,0.153658537,0.846341463
192,Q1   2019,RNZ,0.179294118,0.820705882
193,Q1   2019,RP5,0.16808465,0.83191535
194,Q1   2019,RPA,0.132708729,0.867291271
195,Q1   2019,RQM,0.101851233,0.898148767
196,Q1   2019,RQW,0.100261345,0.899738655
197,Q1   2019,RQX,0.136770428,0.863229572
198,Q1   2019,RR7,0.16202287,0.83797713
199,Q1   2019,RR8,0.219909326,0.780090674
200,Q1   2019,RRF,0.204789251,0.795210749
201,Q1   2019,RRK,0.25327535,0.74672465
202,Q1   2019,RRV,0.421571772,0.578428228
203,Q1   2019,RTD,0.322683885,0.677316115
204,Q1   2019,RTE,0.205452501,0.794547499
205,Q1   2019,RTF,0.095786913,0.904213087
206,Q1   2019,RTG,0.162773206,0.837226794
207,Q1   2019,RTH,0.206537679,0.793462321
208,Q1   2019,RTK,0.214943151,0.785056849
209,Q1   2019,RTP,0.111697078,0.888302922
210,Q1   2019,RTR,0.251616994,0.748383006
211,Q1   2019,RTX,0.147755815,0.852244185
212,Q1   2019,RVJ,0.160345233,0.839654767
213,Q1   2019,RVR,0.169675382,0.830324618
214,Q1   2019,RVV,0.179519468,0.820480532
215,Q1   2019,RVW,0.11366395,0.88633605
216,Q1   2019,RVY,0.076988636,0.923011364
217,Q1   2019,RWA,0.247350737,0.752649263
218,Q1   2019,RWD,0.133777899,0.866222101
219,Q1   2019,RWE,0.178049429,0.821950571
220,Q1   2019,RWF,0.097529955,0.902470045
221,Q1   2019,RWG,0.144617322,0.855382678
222,Q1   2019,RWH,0.154089665,0.845910335
223,Q1   2019,RWJ,0.137291646,0.862708354
224,Q1   2019,RWP,0.147552905,0.852447095
225,Q1   2019,RWW,0.117109432,0.882890568
226,Q1   2019,RWY,0.103507341,0.896492659
227,Q1   2019,RX1,0.191169461,0.808830539
228,Q1   2019,RXC,0.118115942,0.881884058
229,Q1   2019,RXF,0.118251928,0.881748072
230,Q1   2019,RXK,0.098560646,0.901439354
231,Q1   2019,RXL,0.156710875,0.843289125
232,Q1   2019,RXN,0.209091632,0.790908368
233,Q1   2019,RXP,0.094623957,0.905376043
234,Q1   2019,RXQ,0.138450043,0.861549957
235,Q1   2019,RXR,0.154355401,0.845644599
236,Q1   2019,RXW,0.09347794,0.90652206
237,Q1   2019,RYJ,0.288046272,0.711953728
238,Q1   2019,RYR,0.101093824,0.898906176
239,Q1   2020,R0A,0.238416574,0.761583426
240,Q1   2020,R0B,0.175641704,0.824358296
241,Q1   2020,R1F,0.145754854,0.854245146
242,Q1   2020,R1H,0.152033874,0.847966126
243,Q1   2020,R1K,0.09866503,0.90133497
244,Q1   2020,RA2,0.166573567,0.833426433
245,Q1   2020,RA4,0.107523188,0.892476812
246,Q1   2020,RA7,0.206100342,0.793899658
247,Q1   2020,RA9,0.099224453,0.900775547
248,Q1   2020,RAE,0.118783234,0.881216766
249,Q1   2020,RAJ,0.15374176,0.84625824
250,Q1   2020,RAL,0.181800754,0.818199246
251,Q1   2020,RAP,0.053173563,0.946826437
252,Q1   2020,RAS,0.106975126,0.893024874
253,Q1   2020,RAX,0.10428607,0.89571393
254,Q1   2020,RBK,0.089606893,0.910393107
255,Q1   2020,RBL,0.142721489,0.857278511
256,Q1   2020,RBN,0.108142782,0.891857218
257,Q1   2020,RBT,0.087961405,0.912038595
258,Q1   2020,RBZ,0.211382114,0.788617886
259,Q1   2020,RC9,0.129993358,0.870006642
260,Q1   2020,RCB,0.104644477,0.895355523
261,Q1   2020,RCD,0.140019861,0.859980139
262,Q1   2020,RCF,0.097734255,0.902265745
263,Q1   2020,RCX,0.072921672,0.927078328
264,Q1   2020,RD1,0.119031278,0.880968722
265,Q1   2020,RD8,0.141376229,0.858623771
266,Q1   2020,RDE,0.142872495,0.857127505
267,Q1   2020,RDU,0.165014375,0.834985625
268,Q1   2020,REF,0.19398118,0.80601882
269,Q1   2020,REM,0.115982817,0.884017183
270,Q1   2020,RF4,0.116366366,0.883633634
271,Q1   2020,RFF,0.095428929,0.904571071
272,Q1   2020,RFR,0.1687431,0.8312569
273,Q1   2020,RFS,0.099250268,0.900749732
274,Q1   2020,RGN,0.106449593,0.893550407
275,Q1   2020,RGP,0.099293286,0.900706714
276,Q1   2020,RGR,0.127728902,0.872271098
277,Q1   2020,RGT,0.217717966,0.782282034
278,Q1   2020,RH5,0.006269592,0.993730408
279,Q1   2020,RH8,0.205154463,0.794845537
280,Q1   2020,RHM,0.227338462,0.772661538
281,Q1   2020,RHQ,0.251093494,0.748906506
282,Q1   2020,RHU,0.151330555,0.848669445
283,Q1   2020,RHW,0.139851852,0.860148148
284,Q1   2020,RJ1,0.340232604,0.659767396
285,Q1   2020,RJ2,0.076736807,0.923263193
286,Q1   2020,RJ6,0.119485622,0.880514378
287,Q1   2020,RJ7,0.272346148,0.727653852
288,Q1   2020,RJC,0.129828894,0.870171106
289,Q1   2020,RJE,0.119041635,0.880958365
290,Q1   2020,RJL,0.12972922,0.87027078
291,Q1   2020,RJN,0.082491582,0.917508418
292,Q1   2020,RJR,0.13912533,0.86087467
293,Q1   2020,RJZ,0.281279576,0.718720424
294,Q1   2020,RK5,0.085697223,0.914302777
295,Q1   2020,RK9,0.210010397,0.789989603
296,Q1   2020,RKB,0.16776699,0.83223301
297,Q1   2020,RKE,0.133562625,0.866437375
298,Q1   2020,RL4,0.152758265,0.847241735
299,Q1   2020,RLQ,0.138299737,0.861700263
300,Q1   2020,RLT,0.105603448,0.894396552
301,Q1   2020,RM1,0.18651311,0.81348689
302,Q1   2020,RM3,0.192849404,0.807150596
303,Q1   2020,RMC,0.115936409,0.884063591
304,Q1   2020,RMP,0.10285611,0.89714389
305,Q1   2020,RN3,0.145145909,0.854854091
306,Q1   2020,RN5,0.109652058,0.890347942
307,Q1   2020,RN7,0.210868653,0.789131347
308,Q1   2020,RNA,0.131699687,0.868300313
309,Q1   2020,RNN,0.122177784,0.877822216
310,Q1   2020,RNQ,0.115761234,0.884238766
311,Q1   2020,RNS,0.113373113,0.886626887
312,Q1   2020,RNZ,0.176603652,0.823396348
313,Q1   2020,RP5,0.151827342,0.848172658
314,Q1   2020,RPA,0.111899791,0.888100209
315,Q1   2020,RQM,0.125365888,0.874634112
316,Q1   2020,RQW,0.093632505,0.906367495
317,Q1   2020,RQX,0.13859746,0.86140254
318,Q1   2020,RR7,0.133521783,0.866478217
319,Q1   2020,RR8,0.229625551,0.770374449
320,Q1   2020,RRF,0.214337262,0.785662738
321,Q1   2020,RRK,0.251677209,0.748322791
322,Q1   2020,RRV,0.700140379,0.299859621
323,Q1   2020,RTD,0.294444151,0.705555849
324,Q1   2020,RTE,0.200573066,0.799426934
325,Q1   2020,RTF,0.090054543,0.909945457
326,Q1   2020,RTG,0.11691642,0.88308358
327,Q1   2020,RTH,0.189219956,0.810780044
328,Q1   2020,RTK,0.165584416,0.834415584
329,Q1   2020,RTP,0.115031523,0.884968477
330,Q1   2020,RTR,0.239349896,0.760650104
331,Q1   2020,RTX,0.129407737,0.870592263
332,Q1   2020,RVJ,0.153655439,0.846344561
333,Q1   2020,RVR,0.174751826,0.825248174
334,Q1   2020,RVV,0.13449813,0.86550187
335,Q1   2020,RVW,0.151994756,0.848005244
336,Q1   2020,RVY,0.084474886,0.915525114
337,Q1   2020,RWA,0.242134159,0.757865841
338,Q1   2020,RWD,0.114131188,0.885868812
339,Q1   2020,RWE,0.16042107,0.83957893
340,Q1   2020,RWF,0.114830911,0.885169089
341,Q1   2020,RWG,0.125043298,0.874956702
342,Q1   2020,RWH,0.134869944,0.865130056
343,Q1   2020,RWJ,0.12434555,0.87565445
344,Q1   2020,RWP,0.123255483,0.876744517
345,Q1   2020,RWW,0.100204035,0.899795965
346,Q1   2020,RWY,0.10807369,0.89192631
347,Q1   2020,RX1,0.186702152,0.813297848
348,Q1   2020,RXC,0.110122075,0.889877925
349,Q1   2020,RXF,0.103089054,0.896910946
350,Q1   2020,RXK,0.166757891,0.833242109
351,Q1   2020,RXL,0.147179231,0.852820769
352,Q1   2020,RXN,0.19636395,0.80363605
353,Q1   2020,RXP,0.083384758,0.916615242
354,Q1   2020,RXQ,0.138182252,0.861817748
