CatchmentYear,TrustCode,trust_total_catchment
2017,RAJ,1008938
2017,RAL,746448
2017,RAN,163517
2017,RAP,192738
2017,RAS,192631
2017,RAX,269079
2017,RBD,172447
2017,RBK,192071
2017,RBL,274460
2017,RBN,310232
2017,RBQ,47452
2017,RBS,310317
2017,RBT,217597
2017,RBV,90807
2017,RBZ,141894
2017,RC9,545588
2017,RCB,451021
2017,RCD,194606
2017,RCF,152765
2017,RCU,247524
2017,RCX,197161
2017,RD1,347014
2017,RD8,232223
2017,RDE,647925
2017,RDU,675919
2017,REF,408871
2017,REM,542407
2017,REN,10001
2017,REP,96006
2017,RET,51590
2017,RF4,477576
2017,RFF,177426
2017,RFR,209752
2017,RFS,215505
2017,RGM,130038
2017,RGN,488894
2017,RGP,186630
2017,RGR,229654
2017,RGT,603329
2017,RH5,302582
2017,RH8,448446
2017,RHM,693946
2017,RHQ,718368
2017,RHU,578373
2017,RHW,449878
2017,RJ1,1235228
2017,RJ2,355120
2017,RJ6,219053
2017,RJ7,555555
2017,RJC,217798
2017,RJE,614265
2017,RJL,318887
2017,RJN,135154
2017,RJR,187009
2017,RJZ,889494
2017,RK5,302308
2017,RK9,467350
2017,RKB,541322
2017,RKE,163454
2017,RL1,103833
2017,RL4,424092
2017,RLQ,161409
2017,RLT,148953
2017,RM1,608749
2017,RM3,408385
2017,RMC,285654
2017,RMP,189057
2017,RN3,316004
2017,RN5,413321
2017,RN7,251622
2017,RNA,318844
2017,RNN,227315
2017,RNQ,274007
2017,RNS,327692
2017,RNZ,232072
2017,RP4,429553
2017,RP5,378100
2017,RP6,257864
2017,RPA,271218
2017,RPC,186713
2017,RPY,104318
2017,RQ3,487950
2017,RQM,580976
2017,RQW,217496
2017,RQX,291322
2017,RR7,156690
2017,RR8,958859
2017,RRF,313110
2017,RRJ,142904
2017,RRK,1077661
2017,RRV,757799
2017,RTD,850005
2017,RTE,574545
2017,RTF,295739
2017,RTG,825138
2017,RTH,910369
2017,RTK,307234
2017,RTP,310578
2017,RTR,520625
2017,RTX,267557
2017,RVJ,451190
2017,RVR,369574
2017,RVV,623348
2017,RVW,213393
2017,RVY,137149
2017,RWA,548385
2017,RWD,465069
2017,RWE,976621
2017,RWF,436300
2017,RWG,346298
2017,RWH,390525
2017,RWJ,256633
2017,RWP,464873
2017,RWW,231004
2017,RWY,397240
2017,RX1,864565
2017,RXC,317705
2017,RXF,468234
2017,RXK,429212
2017,RXL,263568
2017,RXN,470738
2017,RXP,380093
2017,RXQ,391225
2017,RXR,421418
2017,RXW,328711
2017,RYJ,679170
2017,RYR,909074
2016,R0A,1427115
2016,R0B,439490
2016,R0D,521608
2016,R1F,106665
2016,R1H,1063937
2016,R1K,525149
2016,RA2,326178
2016,RA4,128212
2016,RA7,728719
2016,RA9,228631
2016,RAE,398839
2016,RAJ,1015778
2016,RAL,785456
2016,RAN,164234
2016,RAP,189576
2016,RAS,193055
2016,RAX,264899
2016,RBD,172907
2016,RBK,195454
2016,RBL,279380
2016,RBN,295999
2016,RBQ,47483
2016,RBS,300317
2016,RBT,211680
2016,RBV,93601
2016,RBZ,144454
2016,RC9,536590
2016,RCB,449599
2016,RCD,188829
2016,RCF,149699
2016,RCU,240098
2016,RCX,195873
2016,RD1,344909
2016,RD8,230054
2016,RDE,642847
2016,RDU,689498
2016,REF,404818
2016,REM,545124
2016,REN,8586
2016,REP,95891
2016,RET,50858
2016,RF4,479657
2016,RFF,169910
2016,RFR,214474
2016,RFS,214821
2016,RGM,131886
2016,RGN,483448
2016,RGP,183314
2016,RGR,228522
2016,RGT,600711
2016,RH5,306460
2016,RH8,435502
2016,RHM,679365
2016,RHQ,711317
2016,RHU,573933
2016,RHW,447068
2016,RJ1,1174285
2016,RJ2,357741
2016,RJ6,216867
2016,RJ7,547897
2016,RJC,209647
2016,RJE,608171
2016,RJL,324190
2016,RJN,138246
2016,RJR,188477
2016,RJZ,900784
2016,RK5,300116
2016,RK9,465545
2016,RKB,532547
2016,RKE,162448
2016,RL1,103726
2016,RL4,418547
2016,RLQ,158523
2016,RLT,145114
2016,RM1,605514
2016,RM3,411586
2016,RMC,290928
2016,RMP,198523
2016,RN3,316832
2016,RN5,415732
2016,RN7,247949
2016,RNA,317606
2016,RNN,229807
2016,RNQ,270649
2016,RNS,325869
2016,RNZ,235467
2016,RP4,419620
2016,RP5,378203
2016,RP6,253101
2016,RPA,269416
2016,RPC,185032
2016,RPY,103368
2016,RQ3,474012
2016,RQM,587975
2016,RQW,218886
2016,RQX,266523
2016,RR7,152962
2016,RR8,944271
2016,RRF,312371
2016,RRJ,141556
2016,RRK,1069989
2016,RRV,743174
2016,RTD,842297
2016,RTE,575821
2016,RTF,291665
2016,RTG,813871
2016,RTH,904784
2016,RTK,302997
2016,RTP,302337
2016,RTR,520853
2016,RTX,272838
2016,RVJ,440002
2016,RVR,372571
2016,RVV,621750
2016,RVW,213366
2016,RVY,141452
2016,RWA,546159
2016,RWD,464764
2016,RWE,969757
2016,RWF,439842
2016,RWG,343470
2016,RWH,376331
2016,RWJ,265259
2016,RWP,466803
2016,RWW,241480
2016,RWY,400060
2016,RX1,857914
2016,RXC,323137
2016,RXF,471166
2016,RXK,433434
2016,RXL,264883
2016,RXN,470012
2016,RXP,389410
2016,RXQ,393326
2016,RXR,421446
2016,RXW,326138
2016,RYJ,651543
2016,RYR,908185
2015,R0A,1397663
2015,R0B,441605
2015,R0D,520738
2015,R1F,106782
2015,R1H,1054908
2015,R1K,546878
2015,RA2,327068
2015,RA4,127849
2015,RA7,708953
2015,RA9,229319
2015,RAE,402807
2015,RAJ,1014454
2015,RAL,791791
2015,RAN,162850
2015,RAP,181165
2015,RAS,189354
2015,RAX,261694
2015,RBD,172300
2015,RBK,204681
2015,RBL,283670
2015,RBN,282837
2015,RBQ,47902
2015,RBS,291400
2015,RBT,208906
2015,RBV,95071
