"","date","trust_code","occupied_beds","bed_capacity"
"6923",2017 Q3,"RTG",940.869565217391,1072.78260869565
"6924",2017 Q3,"RWD",964.79347826087,1068.95652173913
"6925",2017 Q3,"RWE",1417.5652173913,1658.08695652174
"6926",2017 Q3,"RWG",629.641304347826,746.130434782609
"6927",2017 Q3,"RWH",583.869565217391,641.739130434783
"6928",2017 Q3,"RWP",710.913043478261,785.880434782609
"6929",2017 Q3,"RX1",1392.21739130435,1577.59782608696
"6930",2017 Q3,"RXK",631.097826086957,707.70652173913
"6931",2017 Q3,"RXM",232.717391304348,271
"6932",2017 Q3,"RXT",623.315217391304,654.826086956522
"6933",2017 Q3,"RXW",681.739130434783,739.445652173913
"6934",2017 Q3,"RY3",67.2282608695652,78.3586956521739
"6935",2017 Q3,"RY5",14.9130434782609,16
"6936",2017 Q3,"RY8",43.9347826086956,69.554347826087
"6937",2017 Q3,"RYG",274.978260869565,318.173913043478
"6938",2017 Q3,"RYK",149.54347826087,175.315217391304
"6939",2017 Q3,"RYV",13.4565217391304,33.9021739130435
"6940",2017 Q3,"RYW",189.032608695652,209.5
"6941",2017 Q3,"TAJ",158.065217391304,204.347826086957
"6942",2017 Q3,"R1H",1555.77173913043,1770.86956521739
"6943",2017 Q3,"R1K",1166.55434782609,1262.47826086957
"6944",2017 Q3,"RAL",928.336956521739,1030.71739130435
"6945",2017 Q3,"RAN",103.489130434783,153.869565217391
"6946",2017 Q3,"RAP",447.945652173913,498.010869565217
"6947",2017 Q3,"RAS",409.978260869565,482.869565217391
"6948",2017 Q3,"RAT",308.065217391304,355.586956521739
"6949",2017 Q3,"RAX",404.217391304348,438.771739130435
"6950",2017 Q3,"RF4",851.521739130435,973
"6951",2017 Q3,"RJ1",924.630434782609,1102.89130434783
"6952",2017 Q3,"RJ2",899.913043478261,976
"6953",2017 Q3,"RJ6",487.184782608696,535.217391304348
"6954",2017 Q3,"RJ7",893.391304347826,975
"6955",2017 Q3,"RJZ",1322.6847826087,1439.84782608696
"6956",2017 Q3,"RKE",291.652173913043,342.076086956522
"6957",2017 Q3,"RKL",667.565217391304,762.673913043478
"6958",2017 Q3,"RP4",239.108695652174,297.847826086957
"6959",2017 Q3,"RP6",5.70652173913043,8.21739130434783
"6960",2017 Q3,"RPG",379.239130434783,395
"6961",2017 Q3,"RPY",156.608695652174,190.347826086957
"6962",2017 Q3,"RQM",847.684782608696,920.228260869565
"6963",2017 Q3,"RQX",290.619565217391,365.565217391304
"6964",2017 Q3,"RQY",363.652173913043,407.478260869565
"6965",2017 Q3,"RRP",461.576086956522,471.630434782609
"6966",2017 Q3,"RRV",681.978260869565,906.510869565217
"6967",2017 Q3,"RT3",316.597826086957,381.804347826087
"6968",2017 Q3,"RV3",792.673913043478,843.304347826087
"6969",2017 Q3,"RVR",719.771739130435,878.565217391304
"6970",2017 Q3,"RWK",772.108695652174,909
"6971",2017 Q3,"RYJ",949.076086956522,1169.13043478261
"6972",2017 Q3,"RYX",8.70652173913044,13
"6973",2017 Q3,"TAF",173.25,185.858695652174
"6974",2017 Q3,"R1C",128.173913043478,149
"6975",2017 Q3,"R1F",279.804347826087,314.532608695652
"6976",2017 Q3,"R1J",0,0
"6977",2017 Q3,"RA2",387.70652173913,496.032608695652
"6978",2017 Q3,"RA3",246.663043478261,260.065217391304
"6979",2017 Q3,"RA4",295.923913043478,343.619565217391
"6980",2017 Q3,"RA7",721.467391304348,810.20652173913
"6981",2017 Q3,"RA9",321.2,378.597826086957
"6982",2017 Q3,"RBA",425.934782608696,483.380434782609
"6983",2017 Q3,"RBD",268.630434782609,323.021739130435
"6984",2017 Q3,"RBZ",237.065217391304,277.402173913043
"6985",2017 Q3,"RD1",500.195652173913,650.434782608696
"6986",2017 Q3,"RD3",469.076086956522,581.608695652174
"6987",2017 Q3,"RDR",0,0
"6988",2017 Q3,"RDU",1250.22826086957,1366.98913043478
"6989",2017 Q3,"RDY",211.695652173913,229
"6990",2017 Q3,"RDZ",520.597826086957,564.782608695652
"6991",2017 Q3,"REF",639.869565217391,742.021739130435
"6992",2017 Q3,"RH5",304.619565217391,359.065217391304
"6993",2017 Q3,"RH8",691.25,822.75
"6994",2017 Q3,"RHM",1034.07608695652,1156.5652173913
"6995",2017 Q3,"RHU",972.195652173913,1026.71739130435
"6996",2017 Q3,"RHW",568.554347826087,681.836956521739
"6997",2017 Q3,"RJ8",204.108695652174,213.04347826087
"6998",2017 Q3,"RK9",815.032608695652,920.684782608696
"6999",2017 Q3,"RN3",559.641304347826,596.45652173913
"7000",2017 Q3,"RN5",724.326086956522,788.076086956522
"7001",2017 Q3,"RN7",496.195652173913,557.902173913043
