,cal_quarter,PROCODE,los_unadjusted
282,Q1   2020,RHU,7.65196958
283,Q1   2020,RHW,7.026725759
284,Q1   2020,RJ1,6.326757326
285,Q1   2020,RJ2,8.248523945
286,Q1   2020,RJ6,7.985601578
287,Q1   2020,RJ7,8.433464476
288,Q1   2020,RJC,7.507095954
289,Q1   2020,RJE,7.584789311
290,Q1   2020,RJL,7.348039216
291,Q1   2020,RJN,9.451116807
292,Q1   2020,RJR,9.285852901
293,Q1   2020,RJZ,8.590277778
294,Q1   2020,RK5,6.846186262
295,Q1   2020,RK9,7.167376289
296,Q1   2020,RKB,7.952414585
297,Q1   2020,RKE,7.557505601
298,Q1   2020,RL4,8.348456443
299,Q1   2020,RLQ,7.134909265
300,Q1   2020,RLT,7.613440551
301,Q1   2020,RM1,6.846214442
302,Q1   2020,RM3,10.05263849
303,Q1   2020,RMC,7.288161209
304,Q1   2020,RMP,7.225916648
305,Q1   2020,RN3,7.473499189
306,Q1   2020,RN5,8.226893802
307,Q1   2020,RN7,7.297985154
308,Q1   2020,RNA,7.133164414
309,Q1   2020,RNN,9.299302061
310,Q1   2020,RNQ,8.740863177
311,Q1   2020,RNS,8.875548406
312,Q1   2020,RNZ,9.091412742
313,Q1   2020,RP5,6.710268811
314,Q1   2020,RPA,7.817389902
315,Q1   2020,RQM,6.831764123
316,Q1   2020,RQW,7.894431305
317,Q1   2020,RQX,7.12601626
318,Q1   2020,RR7,8.236425339
319,Q1   2020,RR8,8.931045088
320,Q1   2020,RRF,5.889685514
321,Q1   2020,RRK,7.676373351
322,Q1   2020,RRV,7.295980891
323,Q1   2020,RTD,7.245604887
324,Q1   2020,RTE,6.47033078
325,Q1   2020,RTF,7.202801656
326,Q1   2020,RTG,7.264077224
327,Q1   2020,RTH,6.340075853
328,Q1   2020,RTK,8.415514131
329,Q1   2020,RTP,8.173447537
330,Q1   2020,RTR,7.595914198
331,Q1   2020,RTX,7.947368421
332,Q1   2020,RVJ,7.798179623
333,Q1   2020,RVR,7.450778643
334,Q1   2020,RVV,7.424009701
335,Q1   2020,RVW,6.628030751
336,Q1   2020,RVY,7.470998797
337,Q1   2020,RWA,6.587135378
338,Q1   2020,RWD,7.042142919
339,Q1   2020,RWE,6.679125227
340,Q1   2020,RWF,6.978843931
341,Q1   2020,RWG,7.426795026
342,Q1   2020,RWH,6.277799403
343,Q1   2020,RWJ,8.555445545
344,Q1   2020,RWP,6.608297251
345,Q1   2020,RWW,7.79844098
346,Q1   2020,RWY,6.482670558
347,Q1   2020,RX1,7.563890692
348,Q1   2020,RXC,7.955797566
349,Q1   2020,RXF,7.605742364
350,Q1   2020,RXK,6.394217687
351,Q1   2020,RXL,8.668536525
352,Q1   2020,RXN,8.662751087
353,Q1   2020,RXP,7.049216532
354,Q1   2020,RXQ,9.718135327
355,Q1   2020,RXR,7.623976249
356,Q1   2020,RXW,6.653730703
357,Q1   2020,RYJ,7.490730643
358,Q1   2020,RYR,7.981343644
359,Q1   2021,R0A,7.663503151
360,Q1   2021,R0B,6.664698819
361,Q1   2021,R0D,6.932679978
362,Q1   2021,R1F,6.896737182
363,Q1   2021,R1H,7.773376486
364,Q1   2021,R1K,7.059084474
365,Q1   2021,RA2,6.899134839
366,Q1   2021,RA4,8.387634936
367,Q1   2021,RA7,7.812975165
368,Q1   2021,RA9,6.505840241
369,Q1   2021,RAE,6.153095412
370,Q1   2021,RAJ,6.708810038
371,Q1   2021,RAL,7.503634688
372,Q1   2021,RAP,7.863150558
373,Q1   2021,RAS,6.115953109
374,Q1   2021,RAX,6.77636153
375,Q1   2021,RBK,6.929006883
376,Q1   2021,RBL,7.749338041
377,Q1   2021,RBN,7.166335157
378,Q1   2021,RBT,8.385500103
379,Q1   2021,RBZ,6.105868475
380,Q1   2021,RC9,7.285698173
381,Q1   2021,RCB,6.390419162
382,Q1   2021,RCD,7.375356125
383,Q1   2021,RCF,7.405306496
384,Q1   2021,RCX,8.320153879
385,Q1   2021,RD1,6.531254996
386,Q1   2021,RD8,6.767217631
387,Q1   2021,RDE,6.747498386
388,Q1   2021,RDU,7.980279516
389,Q1   2021,REF,6.22723487
390,Q1   2021,REM,8.564650828
391,Q1   2021,RF4,7.586084487
392,Q1   2021,RFF,5.654596623
393,Q1   2021,RFR,6.361261429
394,Q1   2021,RFS,5.426357909
395,Q1   2021,RGN,7.877256755
396,Q1   2021,RGP,8.914859438
397,Q1   2021,RGR,8.108852459
398,Q1   2021,RGT,8.783455573
399,Q1   2021,RH5,8.925914862
400,Q1   2021,RH8,7.727001862
401,Q1   2021,RHM,7.049268883
402,Q1   2021,RHQ,7.929367185
403,Q1   2021,RHU,7.846092742
404,Q1   2021,RHW,6.176156333
405,Q1   2021,RJ1,7.945470732
406,Q1   2021,RJ2,7.511845103
407,Q1   2021,RJ6,7.80793547
408,Q1   2021,RJ7,8.369058968
409,Q1   2021,RJC,6.731140242
410,Q1   2021,RJE,6.995669322
411,Q1   2021,RJL,6.739777489
412,Q1   2021,RJN,8.941376381
413,Q1   2021,RJR,8.961958806
414,Q1   2021,RJZ,8.839426708
415,Q1   2021,RK5,6.839453065
416,Q1   2021,RK9,7.36553288
417,Q1   2021,RKB,6.865235651
418,Q1   2021,RKE,7.395746455
419,Q1   2021,RL4,8.089884434
420,Q1   2021,RLQ,7.279021188
421,Q1   2021,RLT,7.805046664
422,Q1   2021,RM1,7.153475568
423,Q1   2021,RM3,8.716664315
424,Q1   2021,RMC,7.450651769
425,Q1   2021,RMP,6.908374116
426,Q1   2021,RN3,6.858525689
