"","date","trust_code","Total","Professionally qualified clinical staff","HCHS Doctors","Consultant","Associate Specialist","Specialty Doctor","Staff Grade","Specialty Registrar","Core Training","Foundation Doctor Year 2","Foundation Doctor Year 1","Hospital Practitioner / Clinical Assistant","Other and Local HCHS Doctor Grades","Nurses & health visitors","Midwives","Ambulance staff","Scientific, therapeutic & technical staff","Support to clinical staff","Support to doctors, nurses & midwives","Support to ambulance staff","Support to ST&T staff","NHS infrastructure support","Central functions","Hotel, property & estates","Senior managers","Managers","Other staff or those with unknown classification","managers","all_doctors","nurses"
"71",2019 Q1,"05C",103.22931,22.10666,0,0,0,0,0,0,0,0,0,0,0,18.61333,0,0,3.49333,1,1,0,0,80.12265,35.43999,0,19.076,25.60666,0,44.68266,0,18.61333
"72",2019 Q1,"05D",17.10001,5.43334,0.1,0,0,0,0,0,0,0,0,0.1,0,1.2,0,0,4.13334,0,0,0,0,11.66667,3,0,3,5.66667,0,8.66667,0.1,1.2
"73",2019 Q1,"05F",69.998,24.82467,1.738,1,0,0,0,0,0,0,0,0.738,0,18.78667,0,0,4.3,6.12,6.12,0,0,39.05333,11.65333,0,11,16.4,0,27.4,2.738,18.78667
"74",2019 Q1,"05G",49.67253,8.26,0.5,0,0,0,0,0,0,0,0,0.5,0,2.8,0,0,4.96,0,0,0,0,41.41253,13.89333,0,8.9192,18.6,0,27.5192,0.5,2.8
"75",2019 Q1,"05H",46.84223,9.8,0,0,0,0,0,0,0,0,0,0,0,9.8,0,0,0,0,0,0,0,37.04223,8.36,0,12.29556,16.38667,0,28.68223,0,9.8
"76",2019 Q1,"05J",53.42053,7.77387,1.77387,0.29091,0,0,0,0,0,0,0,1.48296,0,6,0,0,0,0.53333,0.53333,0,0,45.11333,11.64,0,9.92667,23.54666,0,33.47333,2.06478,6
"77",2019 Q1,"05L",168.91799,42.89333,0.7,0,0,0,0,0,0,0,0,0.7,0,25.26667,0,0,16.92666,1,1,0,0,125.02466,37.33333,0,33.938,53.75333,0,87.69133,0.7,25.26667
"78",2019 Q1,"05N",143.76699,36.58331,2.15,0,0,0,0,0,0,0,0,0.95,1.2,18.18667,0,0,16.24664,3.28,3.28,0,0,103.90368,60.48134,0,12.47568,30.94666,0,43.42234,3.35,18.18667
"79",2019 Q1,"05Q",35.29093,10.93093,1.09092,0,0,0,0,0,0,0,0,0.72728,0.36364,5,0,0,4.84001,0,0,0,0,24.36,5.6,0,3.6,15.16,0,18.76,1.45456,5
"80",2019 Q1,"05R",48.46667,8.66667,0,0,0,0,0,0,0,0,0,0,0,8.66667,0,0,0,0,0,0,0,39.8,10.29333,0,16.84,12.66667,0,29.50667,0,8.66667
"81",2019 Q1,"05T",122.63304,33.96293,1.50293,0.5,0,0,0,0,0,0,0,1.00293,0,25.68,0,0,6.78,1,1,0,0,86.67011,39.11999,0,18.98,28.57012,1,47.55012,2.00293,25.68
"82",2019 Q1,"05V",82.97032,13.74365,1.22365,0,0,0,0,0,0,0,0,1.22365,0,4.6,0,0,7.92,0,0,0,0,69.22667,27.62667,0,12,29.6,0,41.6,1.22365,4.6
"83",2019 Q1,"05W",58.73516,13.36182,1.28849,0,0,0,0,0,0,0,0,0.44,0.84849,5.4,0,0,6.67333,0,0,0,0,45.37334,18.56,0,8,18.81334,0,26.81334,2.13698,5.4
"84",2019 Q1,"05X",86.39166,22.97833,1.665,0,0,0,0,0,0,0,0,0.665,1,13.32,0.49333,0,7.5,0.6,0.6,0,0,62.81333,36.31333,0,8.6,17.9,0,26.5,2.665,13.32
"85",2019 Q1,"05Y",86.5412,11.55,0.35,0.2,0,0,0,0,0,0,0,0.15,0,6.6,0,0,4.6,0,0,0,0,74.9912,37.7912,0,21.6,15.6,0,37.2,0.55,6.6
"86",2019 Q1,"06A",103.02347,25.44348,0.2,0,0,0,0,0,0,0,0,0.2,0,24.44348,0,0,0.8,0,0,0,0,77.57999,33.77999,0,13,30.8,0,43.8,0.2,24.44348
"87",2019 Q1,"06F",165.71678,28.3575,2.8375,0.4,0,0,0,0,0,0,0,2.4375,0,13.78667,0,0,11.73333,3.21333,3.21333,0,0,134.14595,66.528,0,49.33129,18.28666,0,67.61795,3.2375,13.78667
"88",2019 Q1,"06H",283.93254,69.1875,5.6875,0,0,0,0,5.6875,0,0,0,0,0,42.85333,0,0,20.64667,0,0,0,0,214.74504,112.2636,0,32.13852,70.34292,0,102.48144,11.375,42.85333
"89",2019 Q1,"06K",314.53619,81.58233,44.74688,0.45,0,0,0,36.6125,0,1.4,0,6.28438,0,17.74665,0,0,19.0888,1,1,0,0,231.95386,158.92053,0,42.33333,30.7,0,73.03333,83.20938,17.74665
"90",2019 Q1,"06M",103.33946,27.41334,0.6,0,0,0,0,0,0,0,0,0.6,0,22.81334,0,0,4,3,0,0,3,72.92612,42.78667,0,13.26611,16.87334,0,30.13945,0.6,22.81334
"91",2019 Q1,"06N",199.18933,48.32,4.8,0,0,0,0,0,0,0,0,4.8,0,24.65334,0,0,18.86666,0,0,0,0,150.86933,77.11973,0,50.41627,23.33333,0,73.7496,4.8,24.65334
"92",2019 Q1,"06P",85.26371,21.96091,1.86677,0,0,0,0,0,0,0,0,1.67596,0.19081,7.14747,0,0,12.94667,1.90667,1.90667,0,0,60.39613,27.08,0,23.68946,9.62667,1,33.31613,2.05758,7.14747
"93",2019 Q1,"06Q",154.75,33.77,0.45,0,0,0,0,0,0,0,0,0.45,0,26.08,0,0,7.24,0,0,0,0,120.58,85.66667,0,9.6,25.31333,0.4,34.91333,0.45,26.08
"94",2019 Q1,"06T",125.77334,33.41333,0,0,0,0,0,0,0,0,0,0,0,22.30667,0,0,11.10666,0,0,0,0,92.36001,68.36,0,2.90667,21.09334,0,24.00001,0,22.30667
"95",2019 Q1,"06V",38.2795,4.28,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,0,0,33.9995,16.1995,0,5,12.8,0,17.8,0,4.28
"96",2019 Q1,"06W",134.47509,28.33333,0,0,0,0,0,0,0,0,0,0,0,28.33333,0,0,0,1,0,0,1,105.14176,59.12,0,12.36843,33.65333,0,46.02176,0,28.33333
"97",2019 Q1,"06Y",49.19461,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,46.19461,23.8792,0,6.71541,15.6,0,22.31541,0,3
"98",2019 Q1,"07G",53.27999,12.47999,0,0,0,0,0,0,0,0,0,0,0,8.2,0,0,4.27999,0,0,0,0,40.8,21.8,0,6.1,12.9,0,19,0,8.2
"99",2019 Q1,"07H",135.48694,30.11251,3.48833,0.5,0.4,1,0,0,0,0,0,0.48833,1.1,12.68666,0,0,13.93752,0,0,0,0,105.37443,64.06666,0,24.36777,16.94,0,41.30777,6.48833,12.68666
"100",2019 Q1,"07J",50.38561,2.8,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0,0.01227,0.01227,0,0,47.57334,24.94667,0,11.90667,10.72,0,22.62667,0,2.8
"101",2019 Q1,"07K",283.32781,48.53333,0.4,0.4,0,0,0,0,0,0,0,0,0,35.82,0,0,12.31333,0.4,0,0,0.4,234.39448,83.42001,0,90.68114,60.29333,0,150.97447,0.8,35.82
"102",2019 Q1,"07L",11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6,8.6,0,1,2,0,3,0,0
"103",2019 Q1,"07M",84.73205,9.70667,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2.70667,1,0,0,1,74.02538,30.89334,0,9.94538,33.18666,0,43.13204,0,7
"104",2019 Q1,"07N",67.17333,12.8,0.8,0,0,0,0,0,0,0,0,0,0.8,6,0,0,6,0,0,0,0,54.37333,25.43333,0,16.5,12.44,0,28.94,1.6,6
"105",2019 Q1,"07P",393.96752,34.86085,3.04752,1,0,0,0,0,0,0,0,1.98152,0.066,23.2,0,0,8.61333,0,0,0,0,359.10667,148.96001,0,4.85333,205.29333,0,210.14666,4.11352,23.2
"106",2019 Q1,"07Q",85.41012,18.77332,0,0,0,0,0,0,0,0,0,0,0,11,0,0,7.77332,0,0,0,0,66.0368,42.54187,0,15.32666,8.16827,0.6,23.49493,0,11
"107",2019 Q1,"07R",92.26,2.90667,0,0,0,0,0,0,0,0,0,0,0,2.90667,0,0,0,0.85333,0,0,0.85333,88.5,51.68666,0,8.81334,28,0,36.81334,0,2.90667
"108",2019 Q1,"07T",52.29466,2.384,0.184,0,0,0,0,0,0,0,0,0,0.184,1.6,0,0,0.6,1.19233,1.19233,0,0,48.71833,39.61833,0,6.1,3,0,9.1,0.368,1.6
"109",2019 Q1,"07V",79.40693,22.84693,0.1,0,0,0,0,0,0,0,0,0,0.1,2.6,0,0,20.14693,0,0,0,0,56.56,33.33333,0,6.8,16.42667,0,23.22667,0.2,2.6
"110",2019 Q1,"07W",84.51078,14.91334,1.6,0.2,0,0,0,0,0,0,0,1.1,0.3,6.01334,0,0,7.3,0,0,0,0,69.59744,20.79744,0,2,46.8,0,48.8,2.1,6.01334
"111",2019 Q1,"07X",85.6972,5.39053,0,0,0,0,0,0,0,0,0,0,0,2.29053,0,0,3.1,1,1,0,0,79.30667,45.16,0,8,26.14667,0,34.14667,0,2.29053
"112",2019 Q1,"07Y",43.03786,6.05786,2.05786,0,0,0,0,0,0,0,0,0.969,1.08886,3.4,0,0,0.6,0,0,0,0,36.98,12.76667,0,1,23.21333,0,24.21333,3.14672,3.4
"113",2019 Q1,"08A",65.09333,17.89333,2.4,0.4,0,0,0,0,0,2,0,0,0,7.09333,0,0,8.4,0.8,0,0,0.8,46.4,29,0,4,13.4,0,17.4,4.8,7.09333
"114",2019 Q1,"08C",46.95267,7.19333,0.9,0,0,0,0,0,0,0,0,0.9,0,6.29333,0,0,0,0,0,0,0,39.75934,11.11334,0,1.846,26.8,0,28.646,0.9,6.29333
"115",2019 Q1,"08D",58.28,8.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.8,1,1,0,0,48.48,16,0,7.8,24.68,0,32.48,0,1
"116",2019 Q1,"08E",50.17977,11.55684,0.7035,0,0,0,0,0,0,0,0,0.7035,0,2,0,0,8.85334,0,0,0,0,38.62293,11.02293,0,1.6,26,0,27.6,0.7035,2
"117",2019 Q1,"08F",13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8,9.8,0,3,1,0,4,0,0
"118",2019 Q1,"08G",68.79457,15.2931,1.35977,0,0,0,0,0,0,0,0,1.35977,0,6.24,0,0,7.69333,0,0,0,0,53.50147,19.45,0,2,32.05147,0,34.05147,1.35977,6.24
"119",2019 Q1,"08H",110.70254,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,107.70254,50.76667,0,21.6492,35.28667,0,56.93587,2,1
"120",2019 Q1,"08J",40.56667,9.20667,0.38,0.1,0,0,0,0,0,0,0,0.28,0,2.8,0,0,6.02667,0,0,0,0,31.36,21.66,0,6.7,3,0,9.7,0.48,2.8
"121",2019 Q1,"08K",70.43333,11.99333,0.4,0.1,0,0,0,0,0,0,0,0,0.3,4,0,0,7.59333,0,0,0,0,58.44,41.53333,0,7,9.90667,0,16.90667,0.8,4
"122",2019 Q1,"08L",61.52772,15.21999,0,0,0,0,0,0,0,0,0,0,0,9.41999,0,0,5.8,0,0,0,0,46.0944,22.53333,0,17.16107,6.4,0.21333,23.56107,0,9.41999
"123",2019 Q1,"08M",68.1,2.8,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0,1,1,0,0,64.3,31.8,0,8.5,24,0,32.5,0,2.8
"124",2019 Q1,"08N",144.49456,14.6,1,1,0,0,0,0,0,0,0,0,0,7,0,0,6.6,3,3,0,0,126.89456,76.12,0,15.42917,35.34539,0,50.77456,2,7
"125",2019 Q1,"08P",45.51134,9.138,0.338,0.338,0,0,0,0,0,0,0,0,0,1.8,0,0,7,0,0,0,0,36.37334,29.97334,0,1,5.4,0,6.4,0.676,1.8
"126",2019 Q1,"08Q",109.57333,15.37333,0.81333,0,0,0,0,0,0,0,0,0,0.81333,6,0,0,8.56,0,0,0,0,93.98667,32.00667,0,32.88,29.1,0.21333,61.98,1.62666,6
